Store,Type,Size,lat,lon,state,address,region
15,B,123737,32.385032,-86.185116,AL,"6495 Atlanta Hwy, Montgomery, AL 36117",South
16,B,57197,30.532023,-87.710416,AL,"21141 AL-59, Robertsdale, AL 36567",South
22,B,119557,34.748502,-92.410528,AR,"700 Bowman Rd, Little Rock, AR 72211",West
23,B,114533,34.173786,-92.003049,AR,"5501 S Olive St, Pine Bluff, AR 71603",West
43,C,41062,36.35542,-92.340877,AR,"65 N Walmart Dr, Mountain Home, AR 72653",West
21,B,140167,33.478874,-112.001156,AZ,"3721 E Thomas Rd, Phoenix, AZ 85018",West
39,A,184109,33.703972,-116.281135,CA,"79295 Us Hwy 111, La Quinta, CA 92253",West
40,A,155083,37.996915,-122.109395,CA,"1021 Arnold Dr, Martinez, CA 94553",West
41,A,196321,38.974997,-105.039177,CO,"19600 E Us Highway 24, Woodland Park, CO 80863",West
3,B,37392,41.663074,-72.718404,CT,"3164 Berlin Turnpike, Newington, CT 06111",Northeast
17,B,93188,28.341567,-81.486258,FL,"3250 Vineland Rd, Kissimmee, FL 34746",South
9,B,125833,42.486834,-92.440027,IA,"525 Brandilynn Blvd, Cedar Falls, IA 50613",Midwest
28,A,206302,43.136707,-115.667824,ID,"2745 American Legion Blvd, Mountain Home, ID 83647",West
7,B,70713,39.408004,-88.828499,IL,"2607 W Main St, Shelbyville, IL 62565",Midwest
14,A,200898,39.456503,-95.750695,KS,"427 Arizona Ave, Holton, KS 66436",Midwest
18,B,120653,30.293274,-91.91042,LA,"1932 Rees St, Breaux Bridge, LA 70517",South
1,A,151315,44.628499,-70.156112,ME,"615 Wilton Rd, Farmington, ME 04938",Northeast
10,B,126512,42.808256,-86.090836,MI,"2629 N Park Dr, Holland, MI 49424",Midwest
6,A,202505,34.180953,-90.59038,MS,"1000 S State St, Clarksdale, MS 38614",South
8,A,155078,33.756442,-90.715298,MS,"710 N Davis Ave, Cleveland, MS 38732",South
27,A,204184,47.526585,-111.296517,MT,"701 Smelter Ave Ne, Great Falls, MT 59404",West
11,A,207499,46.846573,-100.903299,ND,"1000 Old Red Trl Nw, Mandan, ND 58554",Midwest
24,A,203819,46.908237,-102.786714,ND,"2456 3rd Ave W, Dickinson, ND 58601",Midwest
13,A,219622,40.658065,-95.85602,NE,"2101 S 11th St, Nebraska City, NE 68410",Midwest
20,A,203742,35.528678,-108.769027,NM,"1650 W Maloney Ave, Gallup, NM 87301",West
29,B,93638,34.075502,-106.892241,NM,"700 6th St N, Socorro, NM 87801",West
30,C,42988,32.270554,-107.747218,NM,"1021 E Pine St, Deming, NM 88030",West
31,A,203750,39.475705,-118.80651,NV,"2333 Reno Hwy, Fallon, NV 89406",West
32,A,203007,40.840798,-115.792573,NV,"2944 Mountain City Hwy, Elko, NV 89801",West
35,B,103681,39.475705,-118.80651,NV,"2333 Reno Hwy, Fallon, NV 89406",West
36,A,39910,40.840798,-115.792573,NV,"2944 Mountain City Hwy, Elko, NV 89801",West
2,A,202307,43.31986,-73.61241,NY,"24 Quaker Ridge Boulevard, Queensbury, NY 12804",Northeast
19,A,203819,35.494599,-97.550601,OK,"2217 NW 23rd St, Oklahoma City, OK 73107",South
33,A,39690,45.850778,-119.286452,OR,"1350 N 1st St, Hermiston, OR 97838",West
34,A,158114,42.367077,-122.859617,OR,"3615 Crater Lake Hwy, Medford, OR 97504",West
37,C,39910,44.292019,-121.170618,OR,"300 NW Oak tree Ln, Redmond, OR 97756",West
38,C,39690,44.026885,-116.93899,OR,"1775 E Idaho Ave, Ontario, OR 97914",West
4,A,205863,39.768887,-76.668538,PA,"698 Shrewsbury Commons Ave, Shrewsbury, PA 17361",Northeast
5,B,34875,33.674559,-78.905456,SC,"1705 S Kings Hwy, Myrtle Beach, SC 29577",South
12,B,112238,44.478206,-103.809699,SD,"2825 1st Ave, Spearfish, SD 57783",Midwest
42,C,39690,45.456082,-98.436496,SD,"3820 7th Ave SE, Aberdeen, SD 57401",Midwest
44,C,39910,36.131617,-86.907752,TN,"7044 Charlotte Pike, Nashville, TN 37209",South
45,B,118221,35.654523,-88.411856,TN,"547 W Church St, Lexington, TN 38351",South
25,B,128107,43.042705,-108.378381,WY,"1733 N Federal Blvd, Riverton, WY 82501",West
26,A,152513,41.265772,-110.953903,WY,"125 2nd St, Evanston, WY 82930",West
